2MASS,objID,KIC,Teff,Rad,Mass,LClass,Bmag,Vmag,Kmag,TIC
"14351032-2959174 ",,,5155.0,0.767,0.87,"DWARF   ",,16.91,14.721,1
"14351267-2959110 ",,,3673.0,0.526,0.523,"DWARF   ",19.27,18.281,14.179,2
"14351563-2958222 ",,,5381.0,3.625,,"GIANT   ",16.028,16.121,13.904,3
"14351523-2958205 ",,,5750.0,1.178,1.03,"DWARF   ",15.699,18.004,15.426,4
"14351455-2958087 ",,,4439.0,10.545,,"GIANT   ",14.462,13.089,10.052,5
"14350580-2957560 ",,,3717.0,0.541,0.537,"DWARF   ",19.03,18.245,14.255,7
"14345487-2957556 ",,,5523.0,1.272,0.97,"DWARF   ",18.023,18.24,17.094,8
"14350699-2957541 ",,,4757.0,1.042,0.76,"DWARF   ",17.882,17.383,14.658,9
"14351672-2957482 ",,,5741.0,0.685,1.03,"DWARF   ",17.529,17.588,15.901,10
"14351189-2957463 ",,,5530.0,1.162,0.97,"DWARF   ",15.981,15.286,13.28,11
"14350451-2957452 ",,,4125.0,0.767,0.65,"DWARF   ",19.654,19.087,15.569,12
"14350611-2957350 ",,,4424.0,,,"DWARF   ",19.706,19.198,15.836,13
"14350671-2957217 ",,,4838.0,0.634,0.79,"DWARF   ",18.247,17.324,14.893,14
"14350900-2957103 ",,,3669.0,1.314,,"GIANT   ",20.294,19.574,15.041,15
"14350389-2957027 ",,,5799.0,1.445,1.04,"DWARF   ",16.937,16.348,14.55,16
"14350323-2956160 ",,,,,,"DWARF   ",21.135,20.053,15.509,17
"14351588-2955504 ",,,4340.0,0.564,0.68,"DWARF   ",19.377,18.768,15.562,18
"14350383-2955118 ",,,4234.0,0.642,0.66,"DWARF   ",19.593,19.039,15.743,19
"14350338-2955097 ",,,3922.0,0.635,0.61,"DWARF   ",20.306,19.486,15.58,20
"14351757-2955036 ",,,,,,"DWARF   ",15.689,18.87,13.953,21
"14351401-2954217 ",,,6364.0,1.198,1.27,"DWARF   ",16.772,17.242,15.503,22
"14350729-2953303 ",,,,,,"DWARF   ",17.878,17.954,15.732,23
"14351875-2953158 ",,,5586.0,1.009,0.99,"DWARF   ",16.362,15.686,13.795,24
"14351541-2953129 ",,,4373.0,0.895,0.68,"DWARF   ",19.909,19.122,15.663,25
"14350795-2953125 ",,,5479.0,1.325,0.96,"DWARF   ",17.713,17.666,15.189,26
"14351579-2953042 ",,,5315.0,0.734,0.92,"DWARF   ",17.824,17.383,15.201,27
"14350422-2952511 ",,,3395.0,0.29,0.265,"DWARF   ",20.718,20.285,15.401,28
"14350657-2952311 ",,,3664.0,0.416,0.41,"DWARF   ",19.839,19.651,15.384,29
"14351475-2952267 ",,,4742.0,8.517,,"GIANT   ",15.785,14.619,11.835,30
"14350663-2952252 ",,,5826.0,1.676,1.05,"DWARF   ",17.571,16.99,15.148,31
"14350321-2952202 ",,,5318.0,0.581,0.92,"DWARF   ",18.259,18.158,15.605,32
"14351379-2952157 ",,,5697.0,1.016,1.01,"DWARF   ",16.346,16.234,14.289,33
