index,pl-name,hostname,pl-letter,pl-orbsmax,e_pl_orbsmax,pl-orbeccen,e_pl_orbeccen,pl-rade,e_pl_rade,e_pl_rade,pl-bmassj,e_pl_bmassj,pl-radj,e_pl_rade,e_pl_rade,pl-bmasse,e_pl_bmasse,st-rad,e_st_rad,RoVK,RoM,Ro,e_RoVK,e_RoM,e_Ro,KOI,KIC,TIC,GAIA,r-Prot,sy-dist,e_sy_dist,st-mass,e_st_mass,sy-vmag,e_sy_vmag,sy-kmag,e_sy_kmag,Prot,e_Prot,VK-color,e_VK_color,st-teff,st-lum,e_st_lum,st-age,e_st_age,Tauc,e_Tauc,st-met,e_st_met,st-spectype,rperi,e_rperi,RA,e_RA,RASun,e_RASun,LX,e_LX,ASHC,e_ASHC,mass-class,rad-class,habitable,CHZ,OHZ,size-class,n-size_class
0,TOI-1260 c,TOI-1260,c,0.0657,0.002,0.0,,2.76,0.07,0.07,0.04153,0.01331,0.246,0.07,0.07,13.2,4.23,0.67,0.01,1.268081003972833,1.078457405057943,1.268081003972833,0.79402373126516,0.5251262088017671,0.79402373126516,-1,-1,-1,-1,nasa,73.5977,0.1607,0.68,0.1,11.922,0.034,8.95,0.022,30.63,3.81,2.9720000000000013,0.04049691346263317,4227.0,-0.889,0.014,6.7,5.2,24.15460834444943,14.823258460647736,-0.1,0.07,K6 V,0.0657,0.002,0.0855664954140836,0.13945935411524768,18.39980985187136,29.9886723812578,28.685403032977806,13.57323775880195,0.7678238974502428,0.10960155720399452,3,3,0,0,0,3,
1,TOI-4562 b,TOI-4562,b,0.768,0.005,0.76,0.02,12.53,0.15,0.15,2.3,0.48,1.118,0.15,0.15,732.0,152.0,1.15,0.05,0.368415000429966,0.4004942679689378,0.368415000429966,0.15237245721971435,0.3275681396292284,0.15237245721971435,-1,-1,-1,-1,nasa,339.605,2.528,1.19,0.06,12.14,0.217,10.619,0.023,3.86,0.08,1.5210000000000008,0.21821548982599745,6096.0,0.253,0.022,0.7,,10.477314972232701,4.327859950147323,0.08,0.06,F7 V,0.18431999999999998,0.015406803691875873,0.06512926314839461,0.09420322850035621,14.005085190455418,20.257011619452765,29.61945189729239,9.25939168354191,2.8300642612834985,0.3564204798705782,3,3,0,0,0,3,
2,Teegarden's Star c,Teegarden's Star,c,0.0455,0.0016,0.04,0.07,1.02,,,0.0033,0.00044,0.091,,,1.05,0.14,0.12,0.01,,0.6310664210394841,0.6310664210394841,,,,-1,-1,-1,-1,nasa,3.83078,0.00398,0.1,0.01,15.13,0.2,7.585,0.046,96.2,,7.545000000000001,0.20522183119736556,3034.0,-3.141,0.003,8.0,,152.44037203174378,22.884667586732586,-0.11,0.28,M7.0 V,0.04368,0.0035360318154677287,0.07334752499053768,,15.77230090352801,,29.212748182075448,,0.5955211168425248,,1,1,1,100,100,1,
3,TOI-1470 b,TOI-1470,b,0.0285,0.0004,0.3,,2.18,0.04,0.04,0.02303,0.0039,0.194,0.04,0.04,7.32,1.24,0.47,0.0,0.600340991149402,0.5873797876233668,0.600340991149402,0.4948182174586832,0.17590937766309303,0.4948182174586832,-1,-1,-1,-1,nasa,51.9503,0.0745,0.47,0.01,13.459,0.036,9.283,0.02,29.0,3.0,4.176,0.041182520563948,3709.0,-1.425,0.001,1.3,0.7,48.30588020397728,39.500248646016054,0.0,0.03,M1.5 V,0.01995,0.00028,0.0725436103583913,0.18317665905363484,15.599430946694461,39.38943250599938,29.25046629107706,18.21908732739007,0.27500699098707504,0.05052251332525167,2,2,0,0,0,2,
4,LHS 1678 d,LHS 1678,d,0.04,0.0018,0.036,0.06,0.981,0.072,0.072,0.00285,,0.088,0.072,0.072,0.907,,0.33,0.01,1.2083144634216274,0.9187661242536586,1.2083144634216274,1.1113863390852436,0.37777395636302985,1.1113863390852436,-1,-1,-1,-1,nasa,19.8782,0.0094,0.35,0.01,12.6,0.2,8.264,0.029,64.0,22.0,4.336,0.20209156340629367,3490.0,-1.839,0.009,7.0,3.0,52.966344389165805,45.18732471690922,,,M2.0 V,0.03856,0.0029615737438058163,0.08465921284463788,0.2039137289963475,18.20471214827918,43.84863282715766,28.72188565268928,19.96333230562058,0.4554731694796557,0.09924687110310684,1,1,0,0,0,1,
5,LHS 1678 b,LHS 1678,b,0.01239,0.00057,0.033,0.035,0.685,0.037,0.037,0.0011,,0.061,0.037,0.037,0.35,,0.33,0.01,1.2083144634216274,0.9187661242536586,1.2083144634216274,1.1113863390852436,0.37777395636302985,1.1113863390852436,-1,-1,-1,-1,nasa,19.8782,0.0094,0.35,0.01,12.6,0.2,8.264,0.029,64.0,22.0,4.336,0.20209156340629367,3490.0,-1.839,0.009,7.0,3.0,52.966344389165805,45.18732471690922,,,M2.0 V,0.01198113,0.0007013292654666566,0.08465921284463788,0.2039137289963475,18.20471214827918,43.84863282715766,28.72188565268928,19.96333230562058,0.14152186864750488,0.030023753579496344,0,0,0,0,0,0,
6,LTT 3780 b,LTT 3780,b,0.01195,0.00029,0.0,,1.325,0.058,0.058,0.00774,0.0006,0.118,0.058,0.058,2.46,0.19,0.38,0.01,1.3900601373910062,1.6303067973961123,1.3900601373910062,1.3365033763692777,0.4738434443775241,1.3365033763692777,-1,-1,-1,-1,nasa,21.9814,0.0403,0.38,0.03,13.14,0.035,8.204001,0.021,104.0,15.0,4.935999000000001,0.040816663263917106,3358.0,-1.783,0.059,3.1,6.2,74.81690698302941,71.12035389541364,0.06,0.11,M3.5 V,0.01195,0.00029,0.08731939226124152,0.2130750606277099,18.776744404602173,45.81864175636826,28.616000362041365,20.7912001670649,0.13685390713952839,0.029348672721477318,1,1,0,0,0,1,
7,Qatar-3 b,Qatar-3,b,0.03783,0.00069,0.0,,12.285,1.569,1.569,4.31,0.47,1.096,1.569,1.569,1369.8473,149.3801,1.27,0.14,0.5401686300953793,0.6096131957889858,0.5401686300953793,,,,-1,-1,-1,-1,nasa,735.601,33.463,1.15,0.06,12.929,0.08,11.219,0.022,6.31,,1.7100000000000009,0.08296987405076617,6007.0,0.279,0.12,0.31,0.001,11.681537298613256,4.926361589307244,-0.041,0.081,G0 V,0.03783,0.00069,0.07087145849365373,,15.239859408725886,,29.33027772233645,,0.5337832860232097,,3,3,0,0,0,3,
8,K2-155 b,K2-155,b,0.0562,0.0014,,,1.8,0.2,0.2,0.0123,,0.161,0.2,0.2,3.89,,0.58,0.06,1.20872984068819,1.1365910815186397,1.20872984068819,0.8552651817385224,0.5375925768502916,0.8552651817385224,-1,-1,-1,-1,nasa,72.7998,0.2864,0.65,0.06,12.773,0.114,9.496,0.017,34.8,8.2,3.2769999999999992,0.11526057435220423,4258.0,-1.229,0.108,,,28.790552552410414,19.208665402356193,-0.3,0.2,K7,0.0562,0.0014,0.08466563791499397,0.15730411678029763,18.20609376467313,33.82592478127429,28.721625922954193,15.357360212218458,0.6637875929834244,0.10571772348259571,2,2,0,0,0,2,
9,tau Cet e,tau Cet,e,0.538,0.06,0.18,0.18,1.81,,,0.01237,0.00261,0.161,,,3.93,0.83,0.83,0.02,2.966891026774452,1.5460199545362072,2.966891026774452,,,,-1,-1,-1,-1,nasa,3.60304,0.00678,0.78,0.01,3.49607,0.023,1.794,0.274,34.5,,1.70207,0.27496363395911105,5310.0,-0.305,0.003,12.12,,11.628334067095059,5.196490629126619,-0.52,0.01,G8.5V,0.44116000000000005,0.1086214785390072,0.10323170018435508,,22.19845098114061,,28.043074031993747,,4.273493502598134,,2,2,0,0,0,2,
