hostname,TIC,Prot,e_Prot,db
LTT 1445 A,98796344,1.393,0.046,mar20
TOI-837,460205581,2.957,0.093,mar20
TOI-251,224225541,3.773,0.285,mar20
TOI-1227,360156606,1.663,0.028,mar20
HAT-P-11,28230919,10.189,1.104,mar20
Kepler-63,299158887,5.267,0.578,mar20
WASP-50,382391899,5.488,0.753,mar20
WASP-8,183532609,7.247,1.094,mar20
HD 109833,360630575,4.9,0.467,mar20
HD 18599,207141131,8.489,0.858,mar20
WASP-167,104024556,1.073,0.029,mar20
TOI-451,257605131,4.747,0.256,mar20
TOI-1807,180695581,4.242,0.391,mar20
TOI-1860,202426247,4.287,0.068,mar20
AU Mic,441420236,4.694,0.228,mar20
TOI-1136,142276270,8.189,0.699,mar20
TOI-1775,9348006,5.329,0.592,mar20
HD 183579,320004517,8.6,1.422,mar20
HD 110082,383390264,2.149,0.044,mar20
TOI-1347,229747848,8.285,0.306,mar20
HIP 94235,464646604,2.183,0.102,mar20
TOI-1135,154872375,5.081,0.281,mar20
HD 63433,130181866,6.508,0.921,mar20
TOI-942,146520535,3.304,0.225,mar20
TOI-1224,299798795,1.166,0.014,mar20
TOI-2048,159873822,3.821,0.109,mar20
TOI-2260,232568235,8.085,0.465,mar20
WASP-140,178284730,10.229,1.217,mar20
WASP-180 A,178367144,4.594,0.474,mar20
WASP-173 A,77031414,7.765,1.37,mar20
HIP 65 A,201248411,13.219,1.859,mar20
TOI-1937 A,268301217,6.463,0.942,mar20
TOI-778,335630746,2.531,0.16,mar20
TOI-444,179034327,7.573,0.637,mar20
CoRoT-18,37168957,5.248,0.765,mar20
DS Tuc A,410214986,2.798,0.163,mar20
HD 235088,293954617,5.368,0.203,mar20
