pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmax,pl_rade,pl_radeerr1,pl_radeerr2,pl_rade,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_radj,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccen,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,st_spectype,st_age,st_ageerr1,st_ageerr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_teff,st_tefferr1,st_tefferr2,st_teff,st_rad,st_raderr1,st_raderr2,st_rad,st_mass,st_masserr1,st_masserr2,st_mass,st_vsin,st_vsinerr1,st_vsinerr2,st_vsin,st_rotp,st_rotperr1,st_rotperr2,st_rotp,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_snum,sy_pnum,sy_mnum
"OGLE-2016-BLG-1227L b","b","OGLE-2016-BLG-1227L",,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,3.400000,2.100000,-1.000000,3.400000,13.900,,,13.900,250.00000,413.00000,-120.00000,1.240,,,1.240,0.79000,1.30000,-0.39000,"Mass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.17,-0.05,0.10,,,,,,,,,,,,,,,,,,1,1,0
"HD 132406 b","b","HD 132406","HD 132406","HIP 73146","TIC 309808219","Gaia DR2 1594127865540229888",1,1,0,1,0,0,1,1,0,0,0,0,0,1.980000,0.060000,-0.060000,1.980000,12.800,,,12.800,1887.90074,206.58846,-187.51876,1.140,,,1.140,5.94000,0.65000,-0.59000,"Mass",0.250000,0.063000,-0.075000,0.250000,908.00000000,16.00000000,-16.00000000,122.000,14.000,-14.000,"G0 V",7.187,0.660,-0.660,0.129,0.015,-0.015,"[M/H]",0.260,0.010,-0.013,5766.00,23.00,-23.00,5766.00,1.34,0.04,-0.04,1.34,0.97,0.04,-0.04,0.97,,,,,,,,,70.7832000,0.1387000,-0.1381000,8.4500000,0.0300000,-0.0300000,6.8700000,0.0170000,-0.0170000,1,1,0
"TOI-1260 c","c","TOI-1260",,,"TIC 355867695","Gaia DR2 1053809778428567680",1,3,0,1,0,0,1,0,0,0,0,0,0,0.065700,0.002000,-0.002000,0.065700,2.760,0.070,-0.070,2.760,13.20000,4.23000,-4.23000,0.246,0.006,-0.006,0.246,0.04153,0.01331,-0.01331,"Mass",0.000000,,,0.000000,7.49313400,0.00002000,-0.00002000,87.970,0.110,-0.110,"K6 V",6.700,5.100,-5.200,-0.100,0.070,-0.070,"[Fe/H]",-0.889,0.013,-0.014,4227.00,85.00,-85.00,4227.00,0.67,0.01,-0.01,0.67,0.68,0.10,-0.06,0.68,1.5000,0.7000,-0.7000,1.5000,30.63,3.81,-3.81,30.63,73.5977000,0.1607000,-0.1601000,11.9220000,0.0340000,-0.0340000,8.9500000,0.0220000,-0.0220000,1,3,0
"HD 149143 b","b","HD 149143","HD 149143","HIP 81022","TIC 281520119","Gaia DR2 4432401099808805888",1,1,0,1,0,0,0,0,0,0,0,0,0,0.053000,0.002900,-0.002900,0.053000,13.600,,,13.600,422.71390,47.67450,-47.67450,1.220,,,1.220,1.33000,0.15000,-0.15000,"Msini",0.016700,0.004000,-0.004000,0.016700,4.07182000,0.00001000,-0.00001000,,,,"G0",4.280,0.680,-0.680,0.290,,,"[Fe/H]",0.350,0.050,-0.050,5856.00,,,5856.00,1.44,0.08,-0.08,1.44,1.20,0.20,-0.20,1.20,3.9000,,,3.9000,,,,,73.2801000,0.3623000,-0.3588000,7.8900000,0.0300000,-0.0300000,6.4340000,0.0260000,-0.0260000,1,1,0
"HD 99492 b","b","HD 99492","HD 99492","HIP 55848","TIC 363549734","Gaia DR2 3812355294261019904",2,2,0,1,0,0,0,0,0,0,0,0,0,0.120000,0.000000,0.000000,0.120000,5.440,,,5.440,25.50000,0.60000,-0.60000,0.486,,,0.486,0.08023,0.00189,-0.00189,"Msini",0.034000,0.025000,-0.021000,0.034000,17.05030000,0.00160000,-0.00160000,,,,"K2 V",4.800,4.100,-4.100,0.300,0.030,-0.030,"[Fe/H]",-0.475,0.015,-0.010,4929.00,44.00,-44.00,4929.00,0.82,0.02,-0.02,0.82,0.85,0.02,-0.02,0.85,0.4100,0.5000,-0.5000,0.4100,,,,,18.2038000,0.0581000,-0.0577000,7.5672700,0.0230000,-0.0230000,5.2560000,0.0170000,-0.0170000,2,2,0
"nu Oph c","c","nu Oph","HD 163917","HIP 88048","TIC 9815387","Gaia DR2 4164319171169516160",1,2,0,1,0,0,0,0,0,0,0,0,0,5.829000,0.006000,-0.006000,5.829000,12.000,,,12.000,7838.32346,,,1.070,,,1.070,24.66200,,,"Mass",0.179000,0.007000,-0.005000,0.179000,3180.60000000,5.01000000,-4.52000000,90.000,,,"K0 III",0.650,0.170,-0.170,0.100,0.100,-0.100,"[Fe/H]",1.895,0.157,-0.153,4887.00,,,4887.00,12.24,2.55,-1.76,12.24,2.61,0.32,-0.57,2.61,3.2100,,,3.2100,,,,,46.2107000,1.7331300,-1.7331300,3.3121600,0.0230000,-0.0230000,1.2250000,0.3060000,-0.3060000,1,2,0
"75 Cet b","b","75 Cet","HD 15779","HIP 11791","TIC 251095345","Gaia DR2 2500064286492779264",2,2,0,1,0,0,0,0,0,0,0,0,0,1.912000,0.002000,-0.003000,1.912000,13.300,,,13.300,787.89662,23.51930,-28.60456,1.180,,,1.180,2.47900,0.07400,-0.09000,"Msini",0.093000,0.026000,-0.042000,0.093000,696.62000000,1.33000000,-1.69000000,,,,"G3 III",,,,0.100,0.080,-0.050,"[Fe/H]",1.714,0.012,-0.021,4809.00,,,4809.00,10.38,0.15,-0.26,10.38,1.92,0.07,-0.08,1.92,1.7700,,,1.7700,,,,,82.9613000,0.7236500,-0.7236500,5.3532000,0.0230000,-0.0230000,3.2070000,0.2720000,-0.2720000,2,2,0
"gam Lib b","b","gam Lib","HD 138905","HIP 76333","TIC 386935627","Gaia DR2 6265374394490149248",1,2,0,1,0,0,0,0,0,0,0,0,0,1.319000,0.003000,-0.003000,1.319000,13.700,,,13.700,357.87479,32.10067,-34.32547,1.220,,,1.220,1.12600,0.10100,-0.10800,"Msini",0.160000,0.071000,-0.107000,0.160000,414.88000000,1.24000000,-1.47000000,,,,"K0 III",2.820,1.970,-0.820,-0.270,0.080,-0.100,"[Fe/H]",1.897,0.022,-0.025,4879.00,,,4879.00,12.38,0.30,-0.24,12.38,1.78,0.24,-0.24,1.78,1.5500,,,1.5500,,,,,47.4017000,0.9084500,-0.9084500,3.9067200,0.0230000,-0.0230000,1.5240000,0.2300000,-0.2300000,1,2,0
"HD 113337 c","c","HD 113337","HD 113337","HIP 63584","TIC 142350121","Gaia DR2 1676282377934772608",1,2,0,1,0,0,0,0,0,0,0,0,0,6.805000,0.536000,-0.468000,6.805000,12.100,,,12.100,6299.67686,772.32303,-818.40815,1.080,,,1.080,19.82100,2.43000,-2.57500,"Mass",0.164000,0.057000,-0.056000,0.164000,5429.93477000,452.06707000,-283.91966000,57.478,4.552,-3.652,"F6 V",0.150,0.100,-0.050,0.070,0.020,-0.020,"[M/H]",0.620,0.001,-0.001,6667.33,54.17,-35.33,6667.33,1.53,0.02,-0.02,1.53,1.41,0.24,-0.24,1.41,6.3000,1.0000,-1.0000,6.3000,,,,,36.1800000,0.0565000,-0.0563000,6.0207800,0.0230000,-0.0230000,5.0050000,0.0170000,-0.0170000,1,2,0
"HD 28109 c","c","HD 28109","HD 28109",,"TIC 29781292","Gaia DR2 4668163021600295552",1,3,0,1,0,0,1,0,0,0,0,0,0,0.308000,0.011000,-0.011000,0.308000,4.230,0.110,-0.110,4.230,7.94300,4.22700,-3.04600,0.377,0.010,-0.010,0.377,0.02499,0.01330,-0.00958,"Mass",0.120300,,,0.120300,56.00819000,0.00194000,-0.00202000,89.543,0.093,-0.086,"F8/G0 V",1.100,0.100,-0.100,0.000,0.100,-0.100,"[Fe/H]",0.456,0.024,-0.014,6120.00,50.00,-50.00,6120.00,1.45,0.04,-0.04,1.45,1.26,0.08,-0.08,1.26,7.7000,0.5000,-0.5000,7.7000,,,,,139.6110000,0.4290000,-0.4270000,9.4200000,0.0300000,-0.0300000,8.1750000,0.0230000,-0.0230000,1,3,0
"L 98-59 d","d","L 98-59",,,"TIC 307210830","Gaia DR2 5271055243163629056",1,4,0,1,0,0,1,0,0,0,0,0,0,0.048600,0.001800,-0.001900,0.048600,1.521,0.119,-0.098,1.521,1.94000,0.28000,-0.28000,0.136,0.011,-0.009,0.136,0.00610,0.00088,-0.00088,"Mass",0.074000,0.057000,-0.046000,0.074000,7.45072450,0.00000810,-0.00000460,88.449,0.058,-0.111,"M3 V",0.800,,,-0.460,0.260,-0.260,"[Fe/H]",-1.948,0.016,-0.016,3415.00,135.00,-135.00,3415.00,0.30,0.03,-0.02,0.30,0.27,0.03,-0.03,0.27,0.0000,1.9000,-1.9000,0.0000,80.90,5.00,-5.30,80.90,10.6194000,0.0032000,-0.0032000,11.6850000,0.0170000,-0.0170000,7.1010000,0.0180000,-0.0180000,1,4,0
"GJ 486 b","b","GJ 486",,"HIP 62452","TIC 390651552","Gaia DR2 3735000631158990976",1,1,0,1,0,0,1,0,0,0,0,0,0,0.017140,0.000130,-0.000130,0.017140,1.289,0.019,-0.014,1.289,2.77000,0.07600,-0.07300,0.115,0.002,-0.001,0.115,0.00872,0.00024,-0.00023,"Mass",0.000860,0.001600,-0.000430,0.000860,1.46712127,0.00000031,-0.00000035,89.390,0.410,-0.420,"M3.5 V",4.000,4.000,-3.000,-0.150,0.130,-0.120,"[Fe/H]",-1.939,0.017,-0.018,3317.00,36.00,-37.00,3317.00,0.32,0.00,-0.00,0.32,0.31,0.01,-0.01,0.31,2.0000,,,2.0000,130.10,1.60,-1.20,130.10,8.0742600,0.0040950,-0.0040950,11.3900000,0.1000000,-0.1000000,6.3620000,0.0180000,-0.0180000,1,1,0
"HIP 12961 b","b","HIP 12961",,"HIP 12961","TIC 204614039","Gaia DR2 5077642283022422656",1,1,0,1,0,0,0,0,0,0,0,0,0,0.250000,0.010000,-0.010000,0.250000,13.200,,,13.200,114.41880,22.24810,-22.24810,1.180,,,1.180,0.36000,0.07000,-0.07000,"Msini",0.170000,0.030000,-0.030000,0.170000,57.43500000,0.04200000,-0.04200000,,,,"M0",,,,-0.140,,,"[Fe/H]",-1.003,0.043,-0.031,3901.00,175.00,-175.00,3901.00,0.65,0.06,-0.06,0.65,0.69,0.19,-0.19,0.69,,,,,,,,,23.3710000,0.0185000,-0.0184000,10.2500000,0.0300000,-0.0300000,6.7360000,0.0180000,-0.0180000,1,1,0
"HD 11755 b","b","HD 11755","HD 11755","HIP 9242","TIC 137121812","Gaia DR2 558504529130235136",1,1,0,1,0,0,0,0,0,0,0,0,0,1.090000,0.040000,-0.040000,1.090000,12.800,,,12.800,1789.38290,292.40360,-292.40360,1.140,,,1.140,5.63000,0.92000,-0.92000,"Msini",0.190000,0.100000,-0.100000,0.190000,433.70001000,3.20000000,-3.20000000,,,,"G5",10.200,1.300,-1.300,-0.740,,,"[Fe/H]",2.169,0.005,-0.005,4312.00,5.00,-5.00,4312.00,20.58,2.27,-2.27,20.58,0.72,0.17,-0.17,0.72,2.3000,,,2.3000,,,,,235.0450000,1.6160000,-1.5950000,6.8826900,0.0230000,-0.0230000,3.7600000,0.2800000,-0.2800000,1,1,0
"HD 29985 b","b","HD 29985","HD 29985",,"TIC 170867837","Gaia DR2 4868261081155110400",1,1,0,1,0,0,0,0,0,0,0,0,0,13.390000,2.071000,-3.680000,13.390000,12.800,,,12.800,1739.47487,617.85842,-367.72747,1.140,,,1.140,5.47300,1.94400,-1.15700,"Mass",0.261000,0.144000,-0.169000,0.261000,20608.14049000,4708.95644000,-7737.11195000,52.658,32.134,-27.013,,,,,-0.220,0.070,-0.070,"[M/H]",-0.846,0.019,-0.013,4678.00,122.98,-107.02,4678.00,0.57,0.04,-0.04,0.57,0.75,0.09,-0.09,0.75,,,,,,,,,31.2707000,0.0217000,-0.0217000,9.9800000,0.0300000,-0.0300000,6.9720000,0.0240000,-0.0240000,1,1,0
"HD 115954 b","b","HD 115954","HD 115954","HIP 65042","TIC 180655149","Gaia DR2 1476407794119745536",1,1,0,1,0,0,0,1,0,0,0,0,0,5.000000,1.300000,-0.360000,5.000000,12.600,,,12.600,2685.65004,193.87533,-146.20107,1.120,,,1.120,8.45000,0.61000,-0.46000,"Mass",0.487000,0.095000,-0.041000,0.487000,3700.00000000,1500.00000000,-390.00000000,79.000,7.700,-11.000,"G0 V",,,,0.340,0.020,-0.020,"[Fe/H]",0.481,0.013,-0.012,5957.00,26.00,-26.00,5957.00,1.21,0.08,-0.08,1.21,1.18,0.06,-0.06,1.18,5.3000,1.0000,-1.0000,5.3000,,,,,87.6437000,0.2763000,-0.2747000,8.3400000,0.0300000,-0.0300000,6.8700000,0.0200000,-0.0200000,1,1,0
"HIP 97233 b","b","HIP 97233","HD 186641","HIP 97233","TIC 251662732","Gaia DR2 4238527753544691712",1,1,0,1,0,0,0,1,0,0,0,0,0,2.491000,0.049000,-0.051000,2.491000,12.100,,,12.100,6098.17365,1157.84889,-102.97640,1.080,,,1.080,19.18700,3.64300,-0.32400,"Mass",0.630000,0.044000,-0.042000,0.630000,1062.26506000,8.80710000,-9.63078000,86.083,20.580,-20.890,"K0/1 III",,,,0.290,0.130,-0.130,"[Fe/H]",1.204,0.132,-0.191,5020.00,100.00,-100.00,5020.00,5.34,0.55,-0.55,5.34,1.81,0.10,-0.10,1.81,2.2000,0.9000,-0.9000,2.2000,,,,,102.2750000,0.4070000,-0.4040000,7.3400000,0.0300000,-0.0300000,5.0900000,0.0270000,-0.0270000,1,1,0
"HD 95872 b","b","HD 95872","HD 95872",,"TIC 52198580","Gaia DR2 3537576785745979904",1,1,0,1,0,0,0,0,0,0,0,0,0,5.150000,0.160000,-0.160000,5.150000,13.000,,,13.000,1188.68420,295.58190,-295.58190,1.160,,,1.160,3.74000,0.93000,-0.93000,"Msini",0.060000,0.040000,-0.040000,0.060000,4375.00000000,170.00000000,-170.00000000,,,,"K0 V",10.000,3.700,-3.700,0.410,,,"[Fe/H]",-0.242,0.002,-0.002,5312.00,100.00,-100.00,5312.00,0.84,0.04,-0.04,0.84,0.70,0.25,-0.25,0.70,,,,,,,,,72.2195000,0.1792000,-0.1784000,9.9550000,0.0070000,-0.0070000,7.9560000,0.0260000,-0.0260000,1,1,0
"OGLE-2015-BLG-0966L b","b","OGLE-2015-BLG-0966L",,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,2.700000,,,2.700000,4.860,,,4.860,21.00000,2.00000,-2.00000,0.433,,,0.433,0.06600,0.00600,-0.00600,"Mass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,0.04,-0.04,0.38,,,,,,,,,3300.0000000,,,,,,,,,1,1,0
"Teegarden's Star c","c","Teegarden's Star",,,"TIC 257870150","Gaia DR2 35227046884571776",1,3,0,1,0,0,0,0,0,0,0,0,0,0.045500,0.001500,-0.001600,0.045500,1.020,,,1.020,1.05000,0.14000,-0.13000,0.091,,,0.091,0.00330,0.00044,-0.00041,"Msini",0.040000,0.070000,-0.030000,0.040000,11.41600000,0.00300000,-0.00300000,,,,"M7.0 V",8.000,,,-0.110,0.280,-0.280,"[Fe/H]",-3.141,0.003,-0.003,3034.00,45.00,-45.00,3034.00,0.12,0.01,-0.01,0.12,0.10,0.01,-0.01,0.10,2.0000,,,2.0000,96.20,,,96.20,3.8307800,0.0039800,-0.0039700,15.1300000,0.2000000,-0.2000000,7.5850000,0.0460000,-0.0460000,1,3,0
"TOI-1470 b","b","TOI-1470",,,"TIC 284441182","Gaia DR2 427224073427887360",1,2,0,1,0,0,1,0,0,0,0,0,0,0.028500,0.000400,-0.000400,0.028500,2.180,0.040,-0.040,2.180,7.32000,1.21000,-1.24000,0.194,0.004,-0.004,0.194,0.02303,0.00381,-0.00390,"Mass",0.300000,,,0.300000,2.52709300,0.00000400,-0.00000300,87.420,0.120,-0.120,"M1.5 V",1.300,0.700,-0.700,0.000,0.030,-0.030,"[Fe/H]",-1.425,0.001,-0.001,3709.00,11.00,-11.00,3709.00,0.47,0.00,-0.00,0.47,0.47,0.01,-0.01,0.47,2.0000,,,2.0000,29.00,3.00,-3.00,29.00,51.9503000,0.0745000,-0.0745000,13.4590000,0.0360000,-0.0360000,9.2830000,0.0200000,-0.0200000,1,2,0
"HR 810 b","b","HR 810","HD 17051","HIP 12653","TIC 166853853","Gaia DR2 4745373133284418816",1,1,0,1,0,0,1,1,0,0,0,0,0,0.920000,0.020000,-0.020000,0.920000,12.700,,,12.700,1970.53612,158.91420,-158.91420,1.140,,,1.140,6.20000,0.50000,-0.50000,"Mass",0.140000,0.130000,-0.130000,0.140000,302.79999000,2.30000000,-2.30000000,87.000,6.000,-6.000,"G0V",2.720,,,0.160,,,"[Fe/H]",0.253,0.001,-0.001,6167.00,24.00,-24.00,6167.00,1.13,0.02,-0.02,1.13,1.34,0.13,-0.13,1.34,6.5000,0.5000,-0.5000,6.5000,7.90,,,7.90,17.3181000,0.0162000,-0.0162000,5.4000000,0.0300000,-0.0300000,4.1380000,0.0360000,-0.0360000,1,1,0
