,pl-name,pl-letter,hostname,hd-name,hip-name,tic-id,gaia-id,pl-orbsmax,pl-orbsmaxerr1,pl-orbsmaxerr2,pl-rade,pl-radeerr1,pl-radeerr2,pl-bmasse,pl-bmasseerr1,pl-bmasseerr2,pl-radj,pl-radjerr1,pl-radjerr2,pl-bmassj,pl-bmassjerr1,pl-bmassjerr2,pl-bmassprov,pl-orbeccen,pl-orbeccenerr1,pl-orbeccenerr2,pl-orbper,pl-orbpererr1,pl-orbpererr2,st-spectype,st-age,st-ageerr1,st-ageerr2,st-met,st-meterr1,st-meterr2,st-metratio,st-lum,st-lumerr1,st-lumerr2,st-teff,st-tefferr1,st-tefferr2,st-rad,st-raderr1,st-raderr2,st-mass,st-masserr1,st-masserr2,st-vsin,st-vsinerr1,st-vsinerr2,st-rotp,st-rotperr1,st-rotperr2,sy-dist,sy-disterr1,sy-disterr2,sy-vmag,sy-vmagerr1,sy-vmagerr2,sy-kmag,sy-kmagerr1,sy-kmagerr2,sy-snum,sy-pnum,sy-mnum,KIC,koi-name,kepler-name,KOI,TIC,GAIA,e_pl_orbsmax,e_pl_rade,e_pl_bmasse,e_pl_radj,e_pl_bmassj,e_pl_orbeccen,e_pl_orbper,e_st_age,e_st_met,e_st_lum,e_st_teff,e_st_rad,e_st_mass,e_st_vsin,e_st_rotp,e_sy_dist,e_sy_vmag,e_sy_kmag,st-flux,st-spectype-ltr,st-spectype-num,st-lumiclass,st-spectype-val,st-spectype-str
0,OGLE-2016-BLG-1227L b,b,OGLE-2016-BLG-1227L,,,,,3.4,2.1,-1.0,13.9,,,250.0,413.0,-120.0,1.24,,,0.79,1.3,-0.39,Mass,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.17,-0.05,,,,,,,,,,,,,,,,1,1,0,-1,,,-1,-1,,2.1,,413.0,,1.3,,,,,,,,0.17,,,,,,,,,,,
1,HD 149143 b,b,HD 149143,HD 149143,HIP 81022,TIC 281520119,Gaia DR2 4432401099808805888,0.053,0.0029,-0.0029,13.6,,,422.7139,47.6745,-47.6745,1.22,,,1.33,0.15,-0.15,Msini,0.0167,0.004,-0.004,4.07182,1e-05,-1e-05,G0,4.28,0.68,-0.68,0.29,,,[Fe/H],0.35,0.05,-0.05,5856.0,,,1.44,0.08,-0.08,1.2,0.2,-0.2,3.9,,,,,,73.2801,0.3623,-0.3588,7.89,0.03,-0.03,6.434,0.026,-0.026,1,1,0,-1,,,-1,281520119,4.432401099808806e+18,0.0029,,47.6745,,0.15,0.004,1e-05,0.68,,0.05,,0.08,0.2,,,0.3623,0.03,0.026,-15.108028841851429,G,0.0,,20.0,G0 
2,75 Cet b,b,75 Cet,HD 15779,HIP 11791,TIC 251095345,Gaia DR2 2500064286492779264,1.912,0.002,-0.003,13.3,,,787.89662,23.5193,-28.60456,1.18,,,2.479,0.074,-0.09,Msini,0.093,0.026,-0.042,696.62,1.33,-1.69,G3 III,,,,0.1,0.08,-0.05,[Fe/H],1.714,0.012,-0.021,4809.0,,,10.38,0.15,-0.26,1.92,0.07,-0.08,1.77,,,,,,82.9613,0.72365,-0.72365,5.3532,0.023,-0.023,3.207,0.272,-0.272,2,2,0,-1,,,-1,251095345,2.5000642864927795e+18,0.003,,28.60456,,0.09,0.042,1.69,,0.08,0.021,,0.26,0.08,,,0.72365,0.023,0.272,-13.851807832851401,G,3.0, III,23.0,G3  III
3,gam Lib b,b,gam Lib,HD 138905,HIP 76333,TIC 386935627,Gaia DR2 6265374394490149248,1.319,0.003,-0.003,13.7,,,357.87479,32.10067,-34.32547,1.22,,,1.126,0.101,-0.108,Msini,0.16,0.071,-0.107,414.88,1.24,-1.47,K0 III,2.82,1.97,-0.82,-0.27,0.08,-0.1,[Fe/H],1.897,0.022,-0.025,4879.0,,,12.38,0.3,-0.24,1.78,0.24,-0.24,1.55,,,,,,47.4017,0.90845,-0.90845,3.90672,0.023,-0.023,1.524,0.23,-0.23,1,2,0,-1,,,-1,386935627,6.265374394490149e+18,0.003,,34.32547,,0.108,0.107,1.47,1.97,0.1,0.025,,0.3,0.24,,,0.90845,0.023,0.23,-13.18264456994553,K,0.0, III,10.0,K0  III
4,TOI-4562 b,b,TOI-4562,,,TIC 349576261,Gaia DR2 5288681857665822080,0.768,0.005,-0.005,12.53,0.15,-0.15,732.0,152.0,-149.0,1.118,0.014,-0.013,2.3,0.48,-0.47,Mass,0.76,0.02,-0.02,225.11781,0.00025,-0.00022,F7 V,0.7,,,0.08,0.06,-0.06,[M/H],0.253,0.015,-0.022,6096.0,32.0,-32.0,1.15,0.05,-0.05,1.19,0.06,-0.06,17.0,0.5,-0.5,3.86,0.05,-0.08,339.605,2.528,-2.491,12.14,0.217,-0.217,10.619,0.023,-0.023,1,1,0,-1,,,-1,349576261,5.288681857665822e+18,0.005,0.15,152.0,0.014,0.48,0.02,0.00025,,0.06,0.022,32.0,0.05,0.06,0.5,0.08,2.528,0.217,0.023,-16.537004886693108,F,7.0, V,37.0,F7  V
5,HIP 12961 b,b,HIP 12961,,HIP 12961,TIC 204614039,Gaia DR2 5077642283022422656,0.25,0.01,-0.01,13.2,,,114.4188,22.2481,-22.2481,1.18,,,0.36,0.07,-0.07,Msini,0.17,0.03,-0.03,57.435,0.042,-0.042,M0,,,,-0.14,,,[Fe/H],-1.003,0.043,-0.031,3901.0,175.0,-175.0,0.65,0.06,-0.06,0.69,0.19,-0.19,,,,,,,23.371,0.0185,-0.0184,10.25,0.03,-0.03,6.736,0.018,-0.018,1,1,0,-1,,,-1,204614039,5.077642283022423e+18,0.01,,22.2481,,0.07,0.03,0.042,,,0.043,175.0,0.06,0.19,,,0.0185,0.03,0.018,-15.468411326056687,M,0.0,,0.0,M0 
6,HD 11755 b,b,HD 11755,HD 11755,HIP 9242,TIC 137121812,Gaia DR2 558504529130235136,1.09,0.04,-0.04,12.8,,,1789.3829,292.4036,-292.4036,1.14,,,5.63,0.92,-0.92,Msini,0.19,0.1,-0.1,433.70001,3.2,-3.2,G5,10.2,1.3,-1.3,-0.74,,,[Fe/H],2.169,0.005,-0.005,4312.0,5.0,-5.0,20.58,2.27,-2.27,0.72,0.17,-0.17,2.3,,,,,,235.045,1.616,-1.595,6.88269,0.023,-0.023,3.76,0.28,-0.28,1,1,0,-1,,,-1,137121812,5.585045291302352e+17,0.04,,292.4036,,0.92,0.1,3.2,1.3,,0.005,5.0,2.27,0.17,,,1.616,0.023,0.28,-14.301358769398094,G,5.0,,25.0,G5 
7,HD 29985 b,b,HD 29985,HD 29985,,TIC 170867837,Gaia DR2 4868261081155110400,13.39,2.071,-3.68,12.8,,,1739.47487,617.85842,-367.72747,1.14,,,5.473,1.944,-1.157,Mass,0.261,0.144,-0.169,20608.14049,4708.95644,-7737.11195,,,,,-0.22,0.07,-0.07,[M/H],-0.846,0.019,-0.013,4678.0,122.98,-107.02,0.57,0.04,-0.04,0.75,0.09,-0.09,,,,,,,31.2707,0.0217,-0.0217,9.98,0.03,-0.03,6.972,0.024,-0.024,1,1,0,-1,,,-1,170867837,4.868261081155111e+18,3.68,,617.85842,,1.944,0.169,7737.11195,,0.07,0.019,122.98,0.04,0.09,,,0.0217,0.03,0.024,-15.564331941448016,,,,,
8,HD 115954 b,b,HD 115954,HD 115954,HIP 65042,TIC 180655149,Gaia DR2 1476407794119745536,5.0,1.3,-0.36,12.6,,,2685.65004,193.87533,-146.20107,1.12,,,8.45,0.61,-0.46,Mass,0.487,0.095,-0.041,3700.0,1500.0,-390.0,G0 V,,,,0.34,0.02,-0.02,[Fe/H],0.481,0.013,-0.012,5957.0,26.0,-26.0,1.21,0.08,-0.08,1.18,0.06,-0.06,5.3,1.0,-1.0,,,,87.6437,0.2763,-0.2747,8.34,0.03,-0.03,6.87,0.02,-0.02,1,1,0,-1,,,-1,180655149,1.4764077941197455e+18,1.3,,193.87533,,0.61,0.095,1500.0,,0.02,0.013,26.0,0.08,0.06,1.0,,0.2763,0.03,0.02,-15.132498142466781,G,0.0, V,20.0,G0  V
9,HD 95872 b,b,HD 95872,HD 95872,,TIC 52198580,Gaia DR2 3537576785745979904,5.15,0.16,-0.16,13.0,,,1188.6842,295.5819,-295.5819,1.16,,,3.74,0.93,-0.93,Msini,0.06,0.04,-0.04,4375.0,170.0,-170.0,K0 V,10.0,3.7,-3.7,0.41,,,[Fe/H],-0.242,0.002,-0.002,5312.0,100.0,-100.0,0.84,0.04,-0.04,0.7,0.25,-0.25,,,,,,,72.2195,0.1792,-0.1784,9.955,0.007,-0.007,7.956,0.026,-0.026,1,1,0,-1,,,-1,52198580,3.53757678574598e+18,0.16,,295.5819,,0.93,0.04,170.0,3.7,,0.002,100.0,0.04,0.25,,,0.1792,0.007,0.026,-15.687365689898673,K,0.0, V,10.0,K0  V
