hostname,pl_name,CHZ,OHZ
HD 132406,HD 132406 b,53,61
HIP 12961,HIP 12961 b,0,62
HIP 97233,HIP 97233 b,22,56
Teegarden's Star,Teegarden's Star c,100,100
HR 810,HR 810 b,0,49
K2-288 B,K2-288 B b,100,100
TOI-2285,TOI-2285 b,12,58
GJ 3293,GJ 3293 d,100,100
Ross 128,Ross 128 b,0,55
GJ 180,GJ 180 c,89,100
HD 23127,HD 23127 b,38,48
HD 196050,HD 196050 b,39,46
HD 215497,HD 215497 c,26,29
HD 28254,HD 28254 b,19,25
TOI-1227,TOI-1227 b,100,100
HD 125612,HD 125612 b,44,65
HD 205739,HD 205739 b,0,20
HD 20868,HD 20868 b,16,22
HD 211810,HD 211810 b,11,17
HD 73534,HD 73534 b,100,100
HD 221585,HD 221585 b,100,100
HD 238914,HD 238914 b,27,57
HD 67087,HD 67087 c,10,14
HD 31253,HD 31253 b,0,42
55 Cnc,55 Cnc f,69,100
HD 12661,HD 12661 b,27,59
HD 4203,HD 4203 b,61,75
30 Ari B,30 Ari B b,0,24
HD 7199,HD 7199 b,57,69
HD 79498,HD 79498 b,11,13
GJ 3021,GJ 3021 b,0,47
HD 175167,HD 175167 b,29,42
HD 190647,HD 190647 b,43,52
Kepler-1600,Kepler-1600 b,100,100
Kepler-441,Kepler-441 b,0,24
Kepler-436,Kepler-436 b,0,48
Kepler-61,Kepler-61 b,27,65
Kepler-309,Kepler-309 c,0,100
Kepler-1840,Kepler-1840 b,0,100
Kepler-1362,Kepler-1362 b,0,100
Kepler-150,Kepler-150 f,100,100
Kepler-1649,Kepler-1649 c,100,100
Kepler-1638,Kepler-1638 b,0,100
Kepler-56,Kepler-56 d,0,44
HD 210277,HD 210277 b,76,86
HD 10180,HD 10180 g,89,100
HD 11506,HD 11506 b,24,27
Kepler-1544,Kepler-1544 b,100,100
Kepler-1634,Kepler-1634 b,100,100
Kepler-1701,Kepler-1701 b,0,100
Kepler-69,Kepler-69 c,0,41
Kepler-1545,Kepler-1545 b,0,100
Kepler-1593,Kepler-1593 b,0,100
Kepler-1318,Kepler-1318 b,100,100
Kepler-442,Kepler-442 b,100,100
Kepler-539,Kepler-539 c,15,17
Kepler-1229,Kepler-1229 b,100,100
KOI-3680,KOI-3680 b,0,34
Kepler-712,Kepler-712 c,100,100
Kepler-1143,Kepler-1143 c,100,100
Kepler-1881,Kepler-1881 b,0,100
Kepler-1628,Kepler-1628 b,100,100
Kepler-351,Kepler-351 d,0,100
Kepler-1552,Kepler-1552 b,0,100
Kepler-443,Kepler-443 b,70,100
Kepler-1868,Kepler-1868 b,100,100
Kepler-62,Kepler-62 e,0,100
Kepler-1652,Kepler-1652 b,100,100
Kepler-174,Kepler-174 d,100,100
Kepler-452,Kepler-452 b,0,100
Kepler-1653,Kepler-1653 b,0,100
Kepler-1410,Kepler-1410 b,0,100
Kepler-1090,Kepler-1090 b,0,100
Kepler-1058,Kepler-1058 b,0,100
Kepler-1704,Kepler-1704 b,24,32
Kepler-1519,Kepler-1519 b,0,100
PH2,PH2 b,61,77
LHS 1140,LHS 1140 b,100,100
HD 169830,HD 169830 c,35,40
Kepler-1097,Kepler-1097 b,0,100
KIC 9663113,KIC 9663113 b,100,100
Kepler-991,Kepler-991 b,0,100
KOI-142,Kepler-88 d,0,4
KIC 10525077,KIC 10525077 b,100,100
KOI-351,KOI-351 h,0,100
Kepler-438,Kepler-438 b,0,7
Kepler-298,Kepler-298 d,0,100
Kepler-1341,Kepler-1341 b,0,100
Kepler-1625,Kepler-1625 b,0,100
Kepler-705,Kepler-705 b,100,100
Kepler-296,Kepler-296 f,78,100
Kepler-97,Kepler-97 c,100,100
Kepler-419,Kepler-419 c,13,69
Kepler-283,Kepler-283 c,100,100
KIC 5437945,KIC 5437945 b,0,100
Kepler-967,Kepler-967 c,0,100
HD 1605,HD 1605 c,100,100
Kepler-62,Kepler-62 f,100,100
Kepler-68,Kepler-68 d,100,100
Kepler-454,Kepler-454 c,100,100
Kepler-1632,Kepler-1632 b,0,100
Kepler-1606,Kepler-1606 b,0,100
Kepler-424,Kepler-424 c,0,100
Kepler-296,Kepler-296 e,33,63
Kepler-1540,Kepler-1540 b,100,100
Kepler-440,Kepler-440 b,40,66
Kepler-1554,Kepler-1554 b,0,100
Kepler-22,Kepler-22 b,0,100
HD 9174,HD 9174 b,100,100
HD 165155,HD 165155 b,100,100
WASP-47,WASP-47 c,84,100
