hostname,Prot,e_Prot,db
TOI-1260,30.63,3.81,nasa
L 98-59,80.9,5.3,nasa
GJ 486,130.1,1.6,nasa
Teegarden's Star,96.2,,nasa
TOI-1470,29.0,3.0,nasa
HR 810,7.9,,nasa
LTT 3780,104.0,15.0,nasa
Qatar-3,6.31,,nasa
tau Cet,34.5,,nasa
MASCARA-1,0.85,0.02,nasa
K2-290,6.63,0.66,nasa
K2-140,14.6,4.1,nasa
K2-141,15.17,3.63,nasa
GJ 504,3.33,,nasa
HD 189733,11.95,0.01,nasa
LHS 1140,131.0,5.0,nasa
HD 134606,42.0,3.9,nasa
G 264-012,100.0,6.0,nasa
K2-104,9.3,0.4,nasa
GJ 3293,41.0,,nasa
GJ 720 A,36.05,1.44,nasa
HD 215152,42.0,,nasa
TOI-837,2.97,0.01,nasa
TOI-1181,8.7,1.4,nasa
GJ 357,77.8,2.1,nasa
K2-331,9.98,0.71,nasa
K2-352,17.59,1.14,nasa
Ross 128,123.0,,nasa
K2-350,8.22,0.47,nasa
HD 158259,20.0,7.0,nasa
TOI-1736,28.0,5.0,nasa
HD 11506,15.0,,nasa
TOI-620,8.99,,nasa
LP 714-47,33.0,3.0,nasa
K2-3,40.71,1.36,nasa
TOI-251,3.84,0.48,nasa
GJ 3138,42.5,,nasa
HD 134060,23.0,2.9,nasa
HD 5278,16.8,,nasa
GJ 3929,122.0,13.0,nasa
HD 23127,33.0,,nasa
HD 233832,41.0,,nasa
HD 238090,96.7,3.7,nasa
TOI-1227,1.65,0.04,nasa
DMPP-3 A,21.8,16.5,nasa
HD 13808,38.99,0.47,nasa
HD 4208,25.0,,nasa
nu Oct A,140.0,35.0,nasa
HD 181433,54.0,,nasa
HD 125612,10.5,,nasa
K2-111,29.2,0.8,nasa
GJ 411,56.16,0.27,nasa
HD 221585,33.3,7.2,nasa
HD 238914,257.0,130.0,nasa
HD 73267,43.0,,nasa
HD 20781,46.8,4.4,nasa
HD 31527,20.3,2.9,nasa
55 Cnc,38.8,0.05,nasa
COCONUTS-2 A,2.83,0.28,nasa
HIP 54597,45.0,5.0,nasa
BD-11 4672,25.0,,nasa
HD 190647,42.0,,nasa
WASP-132,33.0,,nasa
GJ 1214,124.7,5.0,nasa
Kepler-51,8.22,0.01,nasa
Kepler-235,39.49,1.97,nasa
Kepler-423,22.05,0.12,nasa
Kepler-1647,11.23,0.01,nasa
Kepler-411,10.4,0.03,nasa
Kepler-560,50.47,2.52,nasa
Kepler-102,27.95,3.64,nasa
HD 21693,35.2,4.0,nasa
WASP-121,1.13,,nasa
WASP-77 A,15.4,0.4,nasa
Kepler-970,9.23,0.66,nasa
Kepler-9,16.49,0.33,nasa
Kepler-432,77.0,14.0,nasa
Kepler-17,12.01,0.16,nasa
Kepler-419,4.49,0.01,nasa
Kepler-539,11.77,0.02,nasa
Kepler-1928,4.69,0.04,nasa
Kepler-1661,24.44,0.08,nasa
Kepler-1229,17.63,0.88,nasa
Kepler-39,4.5,0.07,nasa
Kepler-155,26.43,1.32,nasa
Kepler-107,20.3,3.3,nasa
TOI-700,54.0,0.8,nasa
HD 176986,35.9,0.2,nasa
HD 143361,42.0,,nasa
TOI-1408,7.91,0.02,nasa
Kepler-395,19.92,1.0,nasa
KOI-7913 A,3.39,0.02,nasa
Kepler-75,19.18,0.25,nasa
HAT-P-11,29.2,,nasa
Kepler-538,25.2,6.5,nasa
Kepler-1652,31.18,1.56,nasa
KOI-7368,2.61,0.04,nasa
Kepler-1643,5.11,0.04,nasa
Kepler-1410,14.09,0.7,nasa
HD 114082,1.92,0.02,nasa
HD 110113,20.8,1.2,nasa
TOI-238,26.0,1.3,nasa
TOI-1062,21.8,2.4,nasa
TOI-431,30.5,0.7,nasa
HATS-74 A,4.75,0.0,nasa
Kepler-45,15.8,0.2,nasa
Kepler-43,12.95,0.25,nasa
KOI-4777,44.0,1.0,nasa
Kepler-705,20.09,1.0,nasa
Kepler-1655,13.6,1.4,nasa
Kepler-1115,0.58,,nasa
WASP-4,22.2,3.3,nasa
Kepler-21,13.42,0.47,nasa
Kepler-1512,10.0,,nasa
Kepler-1455,18.32,0.92,nasa
Kepler-462,0.37,0.08,nasa
HD 136352,23.8,3.1,nasa
WASP-47,31.2,3.5,nasa
HD 180617,50.6,0.41,nasa
WASP-41,18.41,0.05,nasa
TOI-1266,44.6,0.8,nasa
TOI-421,39.6,1.6,nasa
HD 25015,13.6,2.3,nasa
HD 220689,29.0,,nasa
GJ 393,34.15,0.22,nasa
WASP-50,16.3,0.5,nasa
