Planet,Flag,l_Mp,Mp,E_Mp,e_Mp,f_Mp,Rp,E_Rp,e_Rp,f_Rp,Per,a,e,S,R1,R2,R3,R4,CHZ,OHZ,TSM,K,Mstar,Rstar,Teff,logg,Lstar,Jmag,Vmag
16 Cyg B b,,,565.74,25.43,-25.43,,13.33,,,1,798.5,1.66,0.68,620.8,0.842,1.066,1.881,1.984,21,29,,50.5,1.08,1.13,5750,4.36,1.253,4.993,6.215
30 Ari B b,,,4392.41,572.09,-572.09,,12.42,,,1,335.1,0.99,0.29,3993.9,1.229,1.557,2.712,2.86,0,24,,271.4,1.93,1.41,6331,4.43,2.868,6.08,7.092
47 UMa b,,,804.11,22.25,-19.07,,13.13,,,1,1078.0,2.1,0.032,488.3,0.937,1.187,2.088,2.203,43,100,,48.2,1.06,1.21,5872,4.3,1.578,3.96,5.034
55 Cnc f,,,47.77,2.4,-2.4,,7.86,,,1,259.88,0.7708,0.08,1304.2,0.585,0.741,1.332,1.405,69,100,573.9,5.1,0.91,0.94,5172,4.43,0.568,4.768,5.951
BD-00 4475 b,,,7961.64,708.76,-708.76,,11.81,,,1,723.2,1.48,0.39,450.2,0.664,0.842,1.521,1.604,40,45,,695.3,0.81,1.12,5040,4.25,0.722,7.483,9.01
BD-06 1339 c,,,54.03,8.0,-8.0,,8.53,,,1,125.94,0.435,0.31,685.8,0.248,0.314,0.586,0.618,90,100,471.3,9.2,0.7,0.59,4324,4.74,0.095,7.128,9.7
BD-08 2823 c,,,104.88,10.0,-10.0,,12.51,,,1,237.6,0.68,0.19,2019.6,0.655,0.83,1.518,1.601,0,62,,13.5,0.74,1.23,4746,4.13,0.684,7.96,9.86
BD-11 4672 c,,,15.37,2.97,-2.81,,4.05,,,1,74.2,0.3,0.4,2381.8,0.316,0.401,0.739,0.78,25,58,162.2,3.4,0.65,0.64,4550,4.64,0.157,7.651,10.03
BD-17 63 b,,,1620.93,38.14,-38.14,,12.86,,,1,655.6,1.34,0.54,159.6,0.363,0.46,0.843,0.889,13,15,,172.5,0.74,0.69,4714,4.26,0.21,7.574,9.62
BD+14 4559 b,,,330.54,149.38,-149.38,,13.62,,,1,268.94,0.78,0.29,833.9,0.481,0.609,1.108,1.168,84,100,,55.0,0.49,0.86,4864,4.26,0.372,7.882,9.78
