TIC_ID,Prot,eProt,Flare_star,Variability_Classification,
1003831,nan,nan,no,Ambiguous_Variability,
1103432,nan,nan,no,Ambiguous_Variability,
1129033,5.00/10.00,nan,no,Dubious_Rotation,
1133072,nan,nan,no,Noisy_LCs,
1449640,nan,nan,no,Noisy_LCs,
1528696,5.15/8.97,nan,no,Dubious_Rotation,
2758565,3.577,0.313,no,Unambiguous_Rotation,
2760710,1.251,0.033,no,Unambiguous_Rotation,
4070275,5.092,0.272,no,Unambiguous_Rotation,
4464022,3.560,0.486,no,Unambiguous Rotation,
4616072,nan,nan,no,Noisy_LCs,
4646810,nan,nan,no,Ambiguous_Variability,
4897275,nan,nan,no,Noisy_LCs,
5868998,nan,nan,no,Noisy_LCs,
5882269,5.000,0.186,yes,Unambiguous Rotation,
6663331,nan,nan,no,Noisy_LCs,
7059054,5.330,0.216,no,Unambiguous Rotation,
7088246,nan,nan,no,Noisy_LCs,
7439481,1.374,0.039,no,Unambiguous_Rotation,
7624182,1.624,0.029,no,Unambiguous_Rotation,
8260536,6.560,0.999,no,Unambiguous Rotation,
8400842,nan,nan,no,Noisy_LCs,
8677530,4.990,0.587,no,unambiguous rotation,
8767448,nan,nan,no,Noisy_LCs,
8853478,3.640,0.337,no,Unambiguous Rotation,
9006668,7.05/9.96,nan,no,Dubious_Rotation,
9033144,4.201,0.368,no,Unambiguous_Rotation,
9346507,5.650,0.743,no,Unambiguous Rotation,
9348006,5.329,0.592,no,Unambiguous_Rotation,
9725627,nan,nan,no,Noisy_LCs,
9727392,nan,nan,no,Binary,
9804616,nan,nan,no,Ambiguous_Variability,
9858404,nan,nan,no,Noisy_LCs,
11111899,3.707,0.313,no,Unambiguous_Rotation,
11561667,nan,nan,no,Noisy_LCs,
12421862,nan,nan,no,Noisy_LCs,
12423815,nan,nan,no,Noisy_LCs,
12862099,nan,nan,no,Ambiguous_Variability,
13021029,nan,nan,no,Noisy_LCs,
13349647,nan,nan,no,Noisy_LCs,
13499636,5.595,0.921,no,Unambiguous_Rotation,
13684720,nan,nan,yes,Ambiguous_Variability,
14091633,1.363,0.022,no,Unambiguous_Rotation,
14091704,nan,nan,no,Noisy_LCs,
14165625,8.835,0.908,no,Unambiguous_Rotation,
14336130,nan,nan,no,Noisy_LCs,
14614418,nan,nan,no,Noisy_LCs,
14661418,nan,nan,no,Noisy_LCs,
15445551,nan,nan,no,Ambiguous_Variability,
15863518,nan,nan,no,Noisy_LCs,
