pl_name,hostname,tic_id,st_mass,st_masserr1,st_masserr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2
Kepler-334 d,Kepler-334,TIC 158394479,1.022,0.0235,-0.0235,12.834,0.069,-0.069,11.409,0.013,-0.013,0.168,,,0.0,,
Kepler-251 d,Kepler-251,TIC 272489533,0.891,0.019,-0.027,15.541,0.275,-0.275,13.632,0.042,-0.042,0.182,,,0.0,,
Kepler-729 b,Kepler-729,TIC 158269049,0.94,0.04,-0.056,15.567,0.16,-0.16,14.086,0.06,-0.06,0.0432,,,0.0,,
Kepler-687 b,Kepler-687,TIC 121988890,0.77,0.036,-0.039,15.695,0.343,-0.343,13.216,0.034,-0.034,0.1326,,,0.0,,
Kepler-119 b,Kepler-119,TIC 271964647,0.918,0.034,-0.034,14.375,0.08,-0.08,12.58,0.021,-0.021,0.035,,,0.0,,
Kepler-1115 b,Kepler-1115,TIC 138960099,1.6,0.096,-0.1,11.983,0.034,-0.034,11.512,0.021,-0.021,0.2134,,,0.0,,
Kepler-1073 b,Kepler-1073,TIC 138568416,1.0,0.095,-0.066,14.749,0.08,-0.08,12.924,0.032,-0.032,0.0805,,,0.0,,
HD 16175 b,HD 16175,TIC 422922274,1.63,0.14,-0.14,7.297,0.023,-0.023,5.853,0.021,-0.021,2.12,0.07,-0.07,0.6,0.11,-0.11
Kepler-405 b,Kepler-405,TIC 137150544,0.873,0.026,-0.021,16.181,0.389,-0.389,14.056,0.067,-0.067,0.095,,,0.0,,
KIC 10001893 c,KIC 10001893,TIC 158488181,0.47,0.03,-0.03,15.829,0.15,-0.15,16.612,,,,,,,,
Kepler-899 b,Kepler-899,TIC 169557750,0.93,0.083,-0.065,15.713,0.217,-0.217,13.615,0.04,-0.04,0.1392,,,0.0,,
Kepler-1255 b,Kepler-1255,TIC 271538318,1.08,0.097,-0.086,15.308,0.069,-0.069,13.692,0.045,-0.045,0.2226,,,0.0,,
KELT-23 A b,KELT-23 A,TIC 458478250,0.944,0.06,-0.054,10.308,0.005,-0.005,8.904,,,0.03302,0.00068,-0.00064,0.0,,
Kepler-1447 b,Kepler-1447,TIC 416281317,0.97,0.05,-0.059,14.747,0.08,-0.08,13.124,0.031,-0.031,0.2836,,,0.0,,
TOI-220 b,TOI-220,TIC 150098860,0.825,0.028,-0.028,10.466,0.007,-0.007,8.542,0.025,-0.025,0.08911,0.001,-0.001,0.032,0.038,-0.023
