hostname,Prot,e_Prot,KOI,KIC,TIC,GAIA,db
Kepler-261,12.368,0.001,988,-1,-1,-1,mcq13
Kepler-493,3.054,0.001,208,-1,-1,-1,mcq13
Kepler-1320,10.564,0.001,2708,-1,-1,-1,mcq13
Kepler-1324,12.689,0.001,2719,-1,-1,-1,mcq13
Kepler-63,5.407,0.001,63,-1,-1,-1,mcq13
Kepler-349,7.799,0.001,2022,-1,-1,-1,mcq13
Kepler-1313,6.138,0.001,2678,-1,-1,-1,mcq13
Kepler-971,6.248,0.001,1839,-1,-1,-1,mcq13
Kepler-331,8.662,0.001,1895,-1,-1,-1,mcq13
Kepler-81,13.417,0.001,877,-1,-1,-1,mcq13
Kepler-955,7.552,0.001,1801,-1,-1,-1,mcq13
Kepler-1312,5.998,0.001,2675,-1,-1,-1,mcq13
Kepler-1105,13.483,0.002,2114,-1,-1,-1,mcq13
Kepler-1164,11.367,0.002,2261,-1,-1,-1,mcq13
Kepler-45,15.805,0.002,254,-1,-1,-1,mcq13
Kepler-1804,11.28,0.002,2181,-1,-1,-1,mcq13
Kepler-1032,12.969,0.002,1973,-1,-1,-1,mcq13
Kepler-326,9.646,0.002,1835,-1,-1,-1,mcq13
Kepler-1002,6.398,0.002,1890,-1,-1,-1,mcq13
Kepler-348,3.878,0.002,2011,-1,-1,-1,mcq13
Kepler-55,13.736,0.002,904,-1,-1,-1,mcq13
Kepler-1086,12.72,0.002,2078,-1,-1,-1,mcq13
Kepler-411,10.44,0.002,1781,-1,-1,-1,mcq13
Kepler-762,4.035,0.002,1074,-1,-1,-1,mcq13
Kepler-1410,14.378,0.003,3010,-1,-1,-1,mcq13
Kepler-972,5.59,0.003,1840,-1,-1,-1,mcq13
Kepler-1229,17.62,0.003,2418,-1,-1,-1,mcq13
Kepler-1205,10.909,0.003,2350,-1,-1,-1,mcq13
Kepler-447,6.459,0.003,1800,-1,-1,-1,mcq13
Kepler-1792,9.592,0.003,2084,-1,-1,-1,mcq13
Kepler-964,10.187,0.003,1825,-1,-1,-1,mcq13
Kepler-954,10.821,0.003,1797,-1,-1,-1,mcq13
Kepler-318,7.154,0.003,1779,-1,-1,-1,mcq13
Kepler-252,11.055,0.003,912,-1,-1,-1,mcq13
Kepler-908,7.732,0.003,1615,-1,-1,-1,mcq13
Kepler-705,20.206,0.003,854,-1,-1,-1,mcq13
Kepler-210,12.314,0.003,676,-1,-1,-1,mcq13
Kepler-159,10.466,0.004,448,-1,-1,-1,mcq13
Kepler-1802,11.549,0.004,2174,-1,-1,-1,mcq13
Kepler-1185,12.734,0.004,2311,-1,-1,-1,mcq13
Kepler-1104,4.192,0.004,2110,-1,-1,-1,mcq13
Kepler-304,14.176,0.004,1557,-1,-1,-1,mcq13
Kepler-1152,14.939,0.004,2238,-1,-1,-1,mcq13
Kepler-125,14.536,0.004,251,-1,-1,-1,mcq13
Kepler-970,9.191,0.004,1838,-1,-1,-1,mcq13
Kepler-1688,12.372,0.004,2733,-1,-1,-1,mcq13
Kepler-619,11.004,0.004,601,-1,-1,-1,mcq13
Kepler-436,16.005,0.004,2529,-1,-1,-1,mcq13
Kepler-777,18.029,0.004,1141,-1,-1,-1,mcq13
Kepler-662,12.636,0.004,750,-1,-1,-1,mcq13
Kepler-1872,10.838,0.004,2734,-1,-1,-1,mcq13
Kepler-221,9.399,0.004,720,-1,-1,-1,mcq13
Kepler-1206,18.467,0.004,2355,-1,-1,-1,mcq13
Kepler-1065,10.577,0.005,2034,-1,-1,-1,mcq13
Kepler-578,14.889,0.005,496,-1,-1,-1,mcq13
Kepler-631,7.768,0.005,639,-1,-1,-1,mcq13
Kepler-26,17.918,0.005,250,-1,-1,-1,mcq13
Kepler-260,19.203,0.005,986,-1,-1,-1,mcq13
Kepler-1805,17.789,0.005,2191,-1,-1,-1,mcq13
KOI-984,7.978,0.005,984,-1,-1,-1,mcq13
Kepler-1781,9.147,0.005,1982,-1,-1,-1,mcq13
Kepler-339,16.916,0.005,1931,-1,-1,-1,mcq13
Kepler-461,8.552,0.005,49,-1,-1,-1,mcq13
KOI-7913 A,3.39,0.005,-1,8873450,-1,-1,mcq14
Kepler-1275,7.65,0.005,2552,-1,-1,-1,mcq13
Kepler-582,12.455,0.005,507,-1,-1,-1,mcq13
Kepler-236,15.433,0.005,817,-1,-1,-1,mcq13
Kepler-1984,24.305,0.005,1681,-1,-1,-1,mcq13
Kepler-1644,1.451,0.006,-1,10717220,-1,-1,mcq14
Kepler-969,18.125,0.006,1837,-1,-1,-1,mcq13
Kepler-961,15.836,0.006,1818,-1,-1,-1,mcq13
Kepler-944,17.677,0.006,1732,-1,-1,-1,mcq13
Kepler-1055,11.823,0.006,2017,-1,-1,-1,mcq13
Kepler-1646,3.514,0.006,-1,7350067,-1,-1,mcq14
Kepler-52,11.953,0.006,775,-1,-1,-1,mcq13
