,pl-name,hostname,pl-letter,pl-orbsmax,e_pl_orbsmax,pl-orbeccen,e_pl_orbeccen,pl-rade,e_pl_rade,pl-bmassj,e_pl_bmassj,pl-radj,pl-bmasse,e_pl_bmasse,st-rad,e_st_rad,RoVK,RoM,Ro,e_RoVK,e_RoM,e_Ro,KOI,KIC,TIC,GAIA,r-Prot,sy-dist,e_sy_dist,st-mass,e_st_mass,sy-vmag,e_sy_vmag,sy-kmag,e_sy_kmag,Prot,e_Prot,VK-color,e_VK_color,st-teff,st-lum,e_st_lum,st-age,e_st_age,Tauc,e_Tauc,st-met,e_st_met,st-spectype,rperi,e_rperi,RA,e_RA,RASun,e_RASun,LX,e_LX,ASHC,e_ASHC,mass-class,rad-class,habitable,CHZ,OHZ,size-class,n-size_class,st-flux,st-spectype-ltr,st-spectype-num,st-lumiclass,st-spectype-val,st-spectype-str
0,TOI-4562 b,TOI-4562,b,0.768,0.005,0.76,0.02,12.53,0.15,2.3,0.48,1.118,732.0,152.0,1.15,0.05,0.368415000429966,0.4004942679689378,0.368415000429966,0.1523724572197143,0.3275681396292284,0.1523724572197143,-1,-1,-1,-1,nasa,339.605,2.528,1.19,0.06,12.14,0.217,10.619,0.023,3.86,0.08,1.5210000000000008,0.2182154898259974,6096.0,0.253,0.022,0.7,,10.4773149722327,4.327859950147323,0.08,0.06,F7 V,0.1843199999999999,0.0154068036918758,0.0651292631483946,0.0942032285003562,14.005085190455418,20.257011619452765,29.61945189729239,9.25939168354191,2.8300642612834985,0.3564204798705782,3,3,0,0,0,3,,-16.537004886693108,F,7.0, V,37.0,F7  V
1,Qatar-3 b,Qatar-3,b,0.03783,0.00069,0.0,,12.285,1.569,4.31,0.47,1.096,1369.8473,149.3801,1.27,0.14,0.5401686300953793,0.6096131957889858,0.5401686300953793,,,,-1,-1,-1,-1,nasa,735.601,33.463,1.15,0.06,12.929,0.08,11.219,0.022,6.31,,1.7100000000000009,0.0829698740507661,6007.0,0.279,0.12,0.31,0.001,11.681537298613256,4.926361589307244,-0.041,0.081,G0 V,0.03783,0.00069,0.0708714584936537,,15.239859408725886,,29.33027772233645,,0.5337832860232097,,3,3,0,0,0,3,,-17.182341357152175,G,0.0, V,20.0,G0  V
2,GJ 504 b,GJ 504,b,43.5,,,,13.0,,4.0,4.5,1.16,1271.3,1430.2,1.26,0.04,0.3923708483636465,0.3639487511679059,0.3923708483636465,,,,-1,-1,-1,-1,nasa,17.5299,0.0785,1.22,0.08,5.18799,0.023,4.033,0.238,3.33,,1.1549899999999995,0.2391087618637175,6234.0,0.332,0.032,0.16,0.35,8.486869026808485,3.1818201399534547,0.28,0.03,G0 V,43.5,,0.0660415300772555,,14.201254706852712,,29.571846491120247,,658.6764411592762,,3,3,0,0,0,3,,-13.88361561253313,G,0.0, V,20.0,G0  V
3,HD 189733 b,HD 189733,b,0.03126,0.00036,0.0,,12.666,0.112,1.13,0.08,1.13,359.1479,25.4264,0.75,0.01,0.803744298656213,0.5481468279935453,0.803744298656213,0.3859601908006179,0.2791352711017086,0.3859601908006179,-1,-1,-1,-1,nasa,19.7638,0.0128,0.79,0.08,7.67,0.03,5.541,0.021,11.95,0.01,2.129,0.0366196668472011,5052.0,-0.461,0.018,1.4,4.9,14.867912618452545,7.139601098777529,-0.02,,K2 V,0.03126,0.00036,0.077371126722645,0.1078114150072313,16.637516972412953,23.183250948802364,29.02997365222681,10.534772135101573,0.4040266870102438,0.0438064930902351,3,3,0,0,0,3,,-14.7807976360144,K,2.0, V,12.0,K2  V
4,Kepler-423 b,Kepler-423,b,0.03585,0.00114,0.019,0.028,13.361,0.583,0.595,0.081,1.192,189.101,25.743,0.95,0.04,1.9171610355990816,1.1599348416865962,1.9171610355990816,0.8090070644585551,0.6094487108818433,0.8090070644585551,-1,-1,-1,-1,nasa,758.753,12.76,0.85,0.04,14.462,0.126,12.779,0.031,22.05,0.12,1.6829999999999998,0.1297574660665042,5560.0,-0.018,0.079,11.0,2.0,11.501381256222816,4.852969927815001,-0.1,0.05,G4 V,0.03516885,0.0015027637191521,0.0937432282642391,0.0950876196245697,20.158095369167988,20.447186856167363,28.37305285420253,9.047600065266286,0.3751614986083865,0.0391095836081406,3,3,0,0,0,3,,-17.506257577680103,G,4.0, V,24.0,G4  V
5,KOI-142 c,KOI-142,c,0.154121,,0.05724,0.00045,14.0,,0.674,0.016,1.25,214.1,5.2,0.9,0.02,2.559957393348937,2.1784707705043966,2.559957393348937,1.1052240067048054,1.3730521635609598,1.1052240067048054,142,-1,-1,-1,mcq13,376.863,2.01,0.99,0.02,13.209,0.126,11.454,0.019,30.689,0.383,1.754999999999999,0.1274244874425634,5466.0,-0.223,0.054,2.2,2.4,11.988090145458491,5.173519007948609,0.27,0.06,G6 V,0.14529911396,6.935445e-05,0.0999232788122326,0.0976252960571877,21.487023875679174,20.992876656828077,28.154553844707586,9.185516914171323,1.4541067475681395,0.1419592985043517,3,3,0,0,0,3,,-17.103423737195236,G,6.0, V,26.0,G6  V
6,TOI-837 b,TOI-837,b,0.0888,0.0029,0.0,,9.169,0.381,0.379,0.061,0.818,120.45697,19.38753,1.05,0.01,0.2554209108659901,0.2817607205929562,0.2554209108659901,0.1068177741887124,0.2149682365215837,0.1068177741887124,-1,-1,-1,-1,nasa,142.488,0.461,1.14,0.01,10.635,0.007,8.933,0.026,2.97,0.01,1.702,0.0269258240356725,5995.0,0.127,0.041,0.035,0.007,11.62786551003355,4.862649858493498,0.01,0.04,F9/G0,0.0888,0.0029,0.0600690981740262,0.095586220732254,12.916971520532298,20.55440365322007,29.896252585609293,9.45123607204788,1.4782975389898063,0.1493245035262054,3,3,0,0,0,3,,-15.908613316506445,F,9.0,,39.0,F9 
7,TOI-1181 b,TOI-1181,b,0.0364,0.007,0.011,0.008,17.026,0.661,1.179,0.023,1.519,374.71969,7.31005,1.96,0.03,0.9099536107029564,,0.9099536107029564,0.3699322882077324,,0.3699322882077324,-1,-1,-1,-1,nasa,302.819,3.542,1.47,0.02,10.582,0.006,9.22,0.015,8.7,1.4,1.362,0.0161554944214035,6054.0,0.642,0.022,2.7,0.2,9.560926950198136,3.5694341070298363,0.38,0.06,F9 IV,0.0359996,0.0069291216211003,0.0795207264497635,0.0917641661947181,17.099756614754384,19.73252732892028,28.936185307864847,8.889930763368863,0.4527071319292135,0.0965321317156166,3,3,0,0,0,3,,-16.048422977126833,F,9.0, IV,39.0,F9  IV
8,HAT-P-11 c,HAT-P-11,c,4.13,0.29,0.601,0.032,13.3,,2.3,0.7,1.19,731.009,222.481,0.68,0.01,1.6468711003314511,1.4158544447543804,1.6468711003314511,0.8724419980567824,0.6982641733710977,0.8724419980567824,3,-1,-1,-1,mcq13,37.7647,0.0337,0.81,0.03,9.46,0.03,7.009,0.02,29.472,0.134,2.4510000000000005,0.0360555127546398,4780.0,-0.564,0.001,6.5,5.9,17.895753950669505,9.480057234817592,0.31,0.05,K4,1.64787,0.1756561120485137,0.0906499000167763,0.1184158778142251,19.49292086029861,25.46358390255581,28.48789108860209,11.404365835065844,18.17839842840458,2.8963041843677524,3,3,0,0,0,3,,-15.446228813318033,K,4.0,,14.0,K4 
9,HD 23127 b,HD 23127,b,2.37,0.032,0.406,0.09,13.5,,1.527,0.038,1.21,485.32641,12.07754,1.49,0.1,3.200839809971509,3.545217952761493,3.200839809971509,,,,-1,-1,-1,-1,nasa,93.8555,0.2059,1.21,0.04,8.58,0.03,7.087,0.018,33.0,,1.4930000000000003,0.0349857113690718,5843.0,0.452,0.002,4.508,0.788,10.30979429123438,4.024642471839216,0.29,0.03,G2 V,1.40778,0.2141452639308187,0.1049762768556919,,22.573596403063835,,27.98571955203372,,13.410458459440676,,3,3,1,38,48,3,,-15.220976190577103,G,2.0, V,22.0,G2  V
