pl_name,pl_letter,hostname,hd_name,hip_name,tic_id,gaia_id,sy_snum,sy_pnum,sy_mnum,rv_flag,pul_flag,ptv_flag,tran_flag,ast_flag,obm_flag,micro_flag,etv_flag,ima_flag,dkin_flag,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmax.1,pl_rade,pl_radeerr1,pl_radeerr2,pl_rade.1,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_radj,pl_radjerr1,pl_radjerr2,pl_radj.1,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassprov,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccen.1,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,st_spectype,st_age,st_ageerr1,st_ageerr2,st_met,st_meterr1,st_meterr2,st_metratio,st_lum,st_lumerr1,st_lumerr2,st_teff,st_tefferr1,st_tefferr2,st_teff.1,st_rad,st_raderr1,st_raderr2,st_rad.1,st_mass,st_masserr1,st_masserr2,st_mass.1,st_vsin,st_vsinerr1,st_vsinerr2,st_vsin.1,st_rotp,st_rotperr1,st_rotperr2,st_rotp.1,sy_dist,sy_disterr1,sy_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_snum.1,sy_pnum.1,sy_mnum.1,KIC,koi_name,kepler_name,KOI,TIC,GAIA
OGLE-2016-BLG-1227L b,b,OGLE-2016-BLG-1227L,,,,,1,1,0,0,0,0,0,0,0,1,0,0,0,3.4,2.1,-1.0,3.4,13.9,,,13.9,250.0,413.0,-120.0,1.24,,,1.24,0.79,1.3,-0.39,Mass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.17,-0.05,0.1,,,,,,,,,,,,,,,,,,1,1,0,-1,,,-1,-1,
HD 132406 b,b,HD 132406,HD 132406,HIP 73146,TIC 309808219,Gaia DR2 1594127865540229888,1,1,0,1,0,0,1,1,0,0,0,0,0,1.98,0.06,-0.06,1.98,12.8,,,12.8,1887.90074,206.58846,-187.51876,1.14,,,1.14,5.94,0.65,-0.59,Mass,0.25,0.063,-0.075,0.25,908.0,16.0,-16.0,122.0,14.0,-14.0,G0 V,7.187,0.66,-0.66,0.129,0.015,-0.015,[M/H],0.26,0.01,-0.013,5766.0,23.0,-23.0,5766.0,1.34,0.04,-0.04,1.34,0.97,0.04,-0.04,0.97,,,,,,,,,70.7832,0.1387,-0.1381,8.45,0.03,-0.03,6.87,0.017,-0.017,1,1,0,-1,,,-1,309808219,1.59412786554023e+18
TOI-1260 c,c,TOI-1260,,,TIC 355867695,Gaia DR2 1053809778428567680,1,3,0,1,0,0,1,0,0,0,0,0,0,0.0657,0.002,-0.002,0.0657,2.76,0.07,-0.07,2.76,13.2,4.23,-4.23,0.246,0.006,-0.006,0.246,0.04153,0.01331,-0.01331,Mass,0.0,,,0.0,7.493134,2e-05,-2e-05,87.97,0.11,-0.11,K6 V,6.7,5.1,-5.2,-0.1,0.07,-0.07,[Fe/H],-0.889,0.013,-0.014,4227.0,85.0,-85.0,4227.0,0.67,0.01,-0.01,0.67,0.68,0.1,-0.06,0.68,1.5,0.7,-0.7,1.5,30.63,3.81,-3.81,30.63,73.5977,0.1607,-0.1601,11.922,0.034,-0.034,8.95,0.022,-0.022,1,3,0,-1,,,-1,355867695,1.0538097784285677e+18
HD 149143 b,b,HD 149143,HD 149143,HIP 81022,TIC 281520119,Gaia DR2 4432401099808805888,1,1,0,1,0,0,0,0,0,0,0,0,0,0.053,0.0029,-0.0029,0.053,13.6,,,13.6,422.7139,47.6745,-47.6745,1.22,,,1.22,1.33,0.15,-0.15,Msini,0.0167,0.004,-0.004,0.0167,4.07182,1e-05,-1e-05,,,,G0,4.28,0.68,-0.68,0.29,,,[Fe/H],0.35,0.05,-0.05,5856.0,,,5856.0,1.44,0.08,-0.08,1.44,1.2,0.2,-0.2,1.2,3.9,,,3.9,,,,,73.2801,0.3623,-0.3588,7.89,0.03,-0.03,6.434,0.026,-0.026,1,1,0,-1,,,-1,281520119,4.432401099808806e+18
HD 99492 b,b,HD 99492,HD 99492,HIP 55848,TIC 363549734,Gaia DR2 3812355294261019904,2,2,0,1,0,0,0,0,0,0,0,0,0,0.12,0.0,0.0,0.12,5.44,,,5.44,25.5,0.6,-0.6,0.486,,,0.486,0.08023,0.00189,-0.00189,Msini,0.034,0.025,-0.021,0.034,17.0503,0.0016,-0.0016,,,,K2 V,4.8,4.1,-4.1,0.3,0.03,-0.03,[Fe/H],-0.475,0.015,-0.01,4929.0,44.0,-44.0,4929.0,0.82,0.02,-0.02,0.82,0.85,0.02,-0.02,0.85,0.41,0.5,-0.5,0.41,,,,,18.2038,0.0581,-0.0577,7.56727,0.023,-0.023,5.256,0.017,-0.017,2,2,0,-1,,,-1,363549734,3.8123552942610196e+18
nu Oph c,c,nu Oph,HD 163917,HIP 88048,TIC 9815387,Gaia DR2 4164319171169516160,1,2,0,1,0,0,0,0,0,0,0,0,0,5.829,0.006,-0.006,5.829,12.0,,,12.0,7838.32346,,,1.07,,,1.07,24.662,,,Mass,0.179,0.007,-0.005,0.179,3180.6,5.01,-4.52,90.0,,,K0 III,0.65,0.17,-0.17,0.1,0.1,-0.1,[Fe/H],1.895,0.157,-0.153,4887.0,,,4887.0,12.24,2.55,-1.76,12.24,2.61,0.32,-0.57,2.61,3.21,,,3.21,,,,,46.2107,1.73313,-1.73313,3.31216,0.023,-0.023,1.225,0.306,-0.306,1,2,0,-1,,,-1,9815387,4.164319171169516e+18
75 Cet b,b,75 Cet,HD 15779,HIP 11791,TIC 251095345,Gaia DR2 2500064286492779264,2,2,0,1,0,0,0,0,0,0,0,0,0,1.912,0.002,-0.003,1.912,13.3,,,13.3,787.89662,23.5193,-28.60456,1.18,,,1.18,2.479,0.074,-0.09,Msini,0.093,0.026,-0.042,0.093,696.62,1.33,-1.69,,,,G3 III,,,,0.1,0.08,-0.05,[Fe/H],1.714,0.012,-0.021,4809.0,,,4809.0,10.38,0.15,-0.26,10.38,1.92,0.07,-0.08,1.92,1.77,,,1.77,,,,,82.9613,0.72365,-0.72365,5.3532,0.023,-0.023,3.207,0.272,-0.272,2,2,0,-1,,,-1,251095345,2.5000642864927795e+18
gam Lib b,b,gam Lib,HD 138905,HIP 76333,TIC 386935627,Gaia DR2 6265374394490149248,1,2,0,1,0,0,0,0,0,0,0,0,0,1.319,0.003,-0.003,1.319,13.7,,,13.7,357.87479,32.10067,-34.32547,1.22,,,1.22,1.126,0.101,-0.108,Msini,0.16,0.071,-0.107,0.16,414.88,1.24,-1.47,,,,K0 III,2.82,1.97,-0.82,-0.27,0.08,-0.1,[Fe/H],1.897,0.022,-0.025,4879.0,,,4879.0,12.38,0.3,-0.24,12.38,1.78,0.24,-0.24,1.78,1.55,,,1.55,,,,,47.4017,0.90845,-0.90845,3.90672,0.023,-0.023,1.524,0.23,-0.23,1,2,0,-1,,,-1,386935627,6.265374394490149e+18
HD 113337 c,c,HD 113337,HD 113337,HIP 63584,TIC 142350121,Gaia DR2 1676282377934772608,1,2,0,1,0,0,0,0,0,0,0,0,0,6.805,0.536,-0.468,6.805,12.1,,,12.1,6299.67686,772.32303,-818.40815,1.08,,,1.08,19.821,2.43,-2.575,Mass,0.164,0.057,-0.056,0.164,5429.93477,452.06707,-283.91966,57.478,4.552,-3.652,F6 V,0.15,0.1,-0.05,0.07,0.02,-0.02,[M/H],0.62,0.001,-0.001,6667.33,54.17,-35.33,6667.33,1.53,0.02,-0.02,1.53,1.41,0.24,-0.24,1.41,6.3,1.0,-1.0,6.3,,,,,36.18,0.0565,-0.0563,6.02078,0.023,-0.023,5.005,0.017,-0.017,1,2,0,-1,,,-1,142350121,1.6762823779347727e+18
HD 28109 c,c,HD 28109,HD 28109,,TIC 29781292,Gaia DR2 4668163021600295552,1,3,0,1,0,0,1,0,0,0,0,0,0,0.308,0.011,-0.011,0.308,4.23,0.11,-0.11,4.23,7.943,4.227,-3.046,0.377,0.01,-0.01,0.377,0.02499,0.0133,-0.00958,Mass,0.1203,,,0.1203,56.00819,0.00194,-0.00202,89.543,0.093,-0.086,F8/G0 V,1.1,0.1,-0.1,0.0,0.1,-0.1,[Fe/H],0.456,0.024,-0.014,6120.0,50.0,-50.0,6120.0,1.45,0.04,-0.04,1.45,1.26,0.08,-0.08,1.26,7.7,0.5,-0.5,7.7,,,,,139.611,0.429,-0.427,9.42,0.03,-0.03,8.175,0.023,-0.023,1,3,0,-1,,,-1,29781292,4.668163021600296e+18
